Qty,Value,Device,Package,Parts,Description
3,0.1 uF,C-US025-050X050,C025-050X050,"C2, C3, C4","CAPACITOR, American symbol"
2,1.8K,R-US_0207/10,0207/10,"R3, R4","RESISTOR, American symbol"
4,1K,R-US_0207/10,0207/10,"R5, R6, R7, R8","RESISTOR, American symbol"
8,1N4004,1N4004,DO41-10,"D1, D2, D3, D4, D5, D6, D7, D8",DIODE
1,1X2-3.5MM,1X2-3.5MM,1X2-3.5MM,12V_IN,3.5mm Terminal block
1,22 uF,CPOL-USB45181A,B45181A,C1,"POLARIZED CAPACITOR, American symbol"
1,330,R-US_0207/10,0207/10,R9,"RESISTOR, American symbol"
2,47K,R-US_0207/10,0207/10,"R1, R2","RESISTOR, American symbol"
1,ADA_MPR121,ADA_MPR121,ADA_MPR121,U$1,
1,BNO055,BNO055,BNO055,IMU1,
1,E-SWITCH_500SSP1S2M2QEA,E-SWITCH_500SSP1S2M2QEA,E-SWITCH_500SSP1S2M2QEA,U$2,
2,GREEN,LED3MM,LED3MM,"LED1, LED3",LED
1,L298,L298,MULTIWATT-15,IC1,DUAL FULL-BRIDGE DRIVER
1,LM2937ET-5V,"LM2937ET-5,0",TO220(V),IC2,400 and 500 mA Low Dropout Voltage Regulator
1,MOTOR1_HEADER,PINHD-1X6,1X06,JP1,PIN HEADER
1,MOTOR2_HEADER,PINHD-1X6,1X06,JP2,PIN HEADER
1,Mega R3,ARDUINO-MEGAFULL,ARDUINO_MEGA,J2,Arduino MegaR3 board footprint. Also works for Due.
2,RED,LED3MM,LED3MM,"LED2, LED4",LED
1,Reset,10-XX,B3F-10XX,S2,OMRON SWITCH
1,STATUS,LED3MM,LED3MM,LED5,LED
